id_bano,numero_voie,nom_voie,code_postal,nom_commume,code_source_bano,latitude,longitude,code_departement,libelle_source
480020029S-62,62,Impasse des Ecureuils,48200,Albaret-Sainte-Marie,CAD,44.878387,3.247616,48,Cadastre
480020031U-24,24,Allée des Jardins,48200,Albaret-Sainte-Marie,C+O,44.882016,3.247547,48,Cadastre GSM
480020031U-40,40,Allée des Jardins,48200,Albaret-Sainte-Marie,C+O,44.882016,3.247547,48,Cadastre GSM
480020032V-16,16,Chemin des Myrtilles,48200,Albaret-Sainte-Marie,C+O,44.87843,3.246917,48,Cadastre GSM
480020032V-50,50,Chemin des Myrtilles,48200,Albaret-Sainte-Marie,C+O,44.87843,3.246917,48,Cadastre GSM
480020032V-81,81,Chemin des Myrtilles,48200,Albaret-Sainte-Marie,C+O,44.87843,3.246917,48,Cadastre GSM
480020034X-24,24,Impasse des Sources,48200,Albaret-Sainte-Marie,C+O,44.87599,3.248569,48,Cadastre GSM
480020034X-45,45,Impasse des Sources,48200,Albaret-Sainte-Marie,C+O,44.87599,3.248569,48,Cadastre GSM
480020034X-50,50,Impasse des Sources,48200,Albaret-Sainte-Marie,C+O,44.87599,3.248569,48,Cadastre GSM
480020035Y-37,37,Chemin des Thuyas,48200,Albaret-Sainte-Marie,C+O,44.8829,3.246947,48,Cadastre GSM
480020035Y-67,67,Chemin des Thuyas,48200,Albaret-Sainte-Marie,C+O,44.8829,3.246947,48,Cadastre GSM
480020037A-28,28,Rue du Couchant,48200,Albaret-Sainte-Marie,C+O,44.879036,3.246868,48,Cadastre GSM
480020037A-31,31,Rue du Couchant,48200,Albaret-Sainte-Marie,C+O,44.879036,3.246868,48,Cadastre GSM
480020038B-54,54,Place du Foirail,48200,Albaret-Sainte-Marie,C+O,44.881922,3.248192,48,Cadastre GSM
480020038B-64,64,Place du Foirail,48200,Albaret-Sainte-Marie,C+O,44.881922,3.248192,48,Cadastre GSM
480020038B-74,74,Place du Foirail,48200,Albaret-Sainte-Marie,C+O,44.881922,3.248192,48,Cadastre GSM
480020038B-91,91,Place du Foirail,48200,Albaret-Sainte-Marie,C+O,44.881922,3.248192,48,Cadastre GSM
480020040D-560,560,route du gévaudan,48200,Albaret-Sainte-Marie,OSM,44.881081,3.246918,48,OpenData GSM
480020040D-904,904,route du gévaudan,48200,Albaret-Sainte-Marie,OSM,44.883637,3.244628,48,OpenData GSM
480020042F-21,21,Chemin du Pasturat,48200,Albaret-Sainte-Marie,C+O,44.879998,3.246489,48,Cadastre GSM
480020042F-24,24,Chemin du Pasturat,48200,Albaret-Sainte-Marie,C+O,44.879998,3.246489,48,Cadastre GSM
480020042F-48,48,Chemin du Pasturat,48200,Albaret-Sainte-Marie,C+O,44.879998,3.246489,48,Cadastre GSM
480020042F-7,7,Chemin du Pasturat,48200,Albaret-Sainte-Marie,C+O,44.879998,3.246489,48,Cadastre GSM
480020043G-21,21,Allée du Pradet,48200,Albaret-Sainte-Marie,C+O,44.881438,3.247645,48,Cadastre GSM
480020043G-23,23,Allée du Pradet,48200,Albaret-Sainte-Marie,C+O,44.881438,3.247645,48,Cadastre GSM
480020045J-112,112,Rue Gabriel Gourdon,48200,Albaret-Sainte-Marie,C+O,44.883639,3.243973,48,Cadastre GSM
480020045J-156,156,Rue Gabriel Gourdon,48200,Albaret-Sainte-Marie,C+O,44.883639,3.243973,48,Cadastre GSM
480020045J-178,178,Rue Gabriel Gourdon,48200,Albaret-Sainte-Marie,C+O,44.883639,3.243973,48,Cadastre GSM
480020045J-181,181,Rue Gabriel Gourdon,48200,Albaret-Sainte-Marie,C+O,44.883639,3.243973,48,Cadastre GSM
